Linear Detection Measurement - Goesser_25_65_
Pose p; Framenumber n; number of detected matches; targetpose px[m]; py[m]; pz[m]; rotx[°]; roty[°]; rotz[°]
Pose p; calculate Median
Pose p; calculate Mittelwert
Pose p; calculate Spannweite
Pose p; calculate Stdev
11; 20; 56; 0.0998053; -0.108498; 1.63399; 61.6966; -162.267; 5.46151
11; Median; 47; 0.108559; -0.115257; 1.67326; 7.27755; -160.148; 60.2721
11; Mean; 47.85; 0.10408; -0.118353; 1.65154; 6.87454; -161.509; 59.4296
11; Range; 19; 0.070789; 0.0474776; 0.0996223; 6.98108; 22.9978; 13.2101
11; Stdev; 5.43392; 0.0162303; 0.0135866; 0.0358758; 2.15524; 5.21777; 3.76766
12; 1; 40; 0.0781539; -0.157869; 1.71724; 61.5783; -159.02; 6.03252
12; 2; 33; 0.0592162; -0.165922; 1.72425; 58.9503; -166.05; 7.80984
12; 3; 40; 0.0817971; -0.15994; 1.66571; 58.1377; -157.877; 8.15238
12; 4; 45; 0.0704383; -0.160445; 1.71631; 60.9002; -160.721; 6.82553
12; 5; 34; 0.0554671; -0.168824; 1.74746; 61.3757; -167.496; 2.48071
12; 6; 31; 0.0767566; -0.173674; 1.75952; 59.23; -157.695; 10.0199
12; 7; 43; 0.0753192; -0.159066; 1.7245; 59.0268; -159.839; 6.38211
12; 8; 46; 0.0769487; -0.162396; 1.70832; 59.3175; -159.502; 8.42795
12; 9; 49; 0.0579832; -0.154935; 1.70108; 62.1464; -164.818; 4.45803
12; 10; 35; 0.0715767; -0.162414; 1.7234; 60.2869; -160.978; 7.35799
12; 11; 36; 0.0739282; -0.173549; 1.7628; 58.1381; -160.667; 6.66516
12; 12; 37; 0.0760182; -0.165977; 1.73416; 58.8723; -159.706; 7.33449
12; 13; 39; 0.076454; -0.156007; 1.6979; 59.938; -158.558; 7.3997
12; 14; 40; 0.0769616; -0.174281; 1.67781; 51.6983; -159.216; 14.1995
12; 15; 42; 0.0726771; -0.176904; 1.77335; 58.4624; -161.034; 6.81446
12; 16; 40; 0.0791428; -0.161627; 1.72351; 58.6904; -158.916; 6.95141
12; 17; 37; 0.0869136; -0.170105; 1.72122; 57.8912; -156.163; 5.12412
